Date,Daily_Spend,Anomaly_Score
2020-06-03,84281.17,-0.8728480010727064
2020-02-03,11362.119999999999,-0.8628660479537293
2020-01-07,6488.37,-0.8483937063623495
2017-06-29,5969.249999999999,-0.8432432992604628
2019-02-25,5523.2300000000005,-0.840964277055732
2019-05-28,5145.740000000001,-0.830222753369439
2020-03-13,5141.99,-0.830222753369439
2019-04-04,5007.04,-0.8291000784204722
2019-06-20,4080.33,-0.8069626761725055
2020-03-19,4008.89,-0.805326397649352
2018-08-21,3539.15,-0.7881569645871596
2019-04-29,3155.48,-0.7733663328247504
2021-01-06,3020.26,-0.7665939222625892
2018-03-09,3014.5699999999997,-0.7640049690722824
2022-04-01,2984.06,-0.7624557959080352
2019-03-06,2624.62,-0.7359938237184172
2019-06-13,2600.0,-0.7349985705467479
2018-10-05,2539.47,-0.733012099899201
2020-03-08,2323.16,-0.719256322136483
2016-01-11,2345.77,-0.7187698477414135
2021-01-09,2229.88,-0.7052813414951549
2019-06-27,2214.11,-0.7009997373262133
2020-09-11,2212.13,-0.7009997373262133
2021-04-05,2140.57,-0.6843193559243944
2017-02-05,2136.9300000000003,-0.6833939799396104
2018-01-03,2107.68,-0.6806253532986964
2021-01-07,2100.2400000000002,-0.6789205772482383
2021-02-08,2064.03,-0.6719709006495661
2018-01-02,2055.47,-0.6715164081031164
2020-08-04,2052.64,-0.6683435558289027
2019-01-07,2050.91,-0.6674397832396942
2018-02-05,2024.49,-0.6663121248903766
2019-11-06,2009.15,-0.662027173814461
2021-01-10,1965.32,-0.6571183594879177
2017-01-08,1883.6499999999999,-0.6530687704063279
2017-01-12,1946.32,-0.6526873931527031
2020-10-29,1890.19,-0.6518099599214089
2018-02-07,1873.7,-0.648827135945108
2018-01-10,1863.6599999999999,-0.6439258363030461
2021-01-03,1814.02,-0.6374373808700083
2022-01-07,1784.21,-0.6304856189915945
2015-01-09,1767.78,-0.6295068492099476
2018-03-12,1745.71,-0.6226791949486202
2016-03-10,1740.99,-0.6206385617315014
2018-03-04,1741.07,-0.6206385617315014
2020-11-30,1725.13,-0.6157421778959894
2016-07-20,775.75,-0.6127311974524596
2020-12-15,763.26,-0.6101534534665003
2018-10-30,768.93,-0.609740771612981
2016-05-31,745.61,-0.6085044000201665
2016-10-21,743.97,-0.6076815453784861
2020-10-03,825.0,-0.6023090324072297
2020-03-04,825.0,-0.6023090324072297
2019-10-18,705.6,-0.6021761892860754
2019-01-10,1692.21,-0.6012013919924842
2016-01-22,704.02,-0.6009551563997012
2019-01-04,1689.98,-0.6007947649327238
2019-10-30,1690.79,-0.6007947649327238
2019-05-13,831.55,-0.6007414719149882
2020-11-23,834.0,-0.5994341996128977
2020-03-09,842.74,-0.5994341996128977
2020-11-17,861.06,-0.598218726660019
2019-02-12,1660.9,-0.5981600359003455
2020-01-31,1659.76,-0.5977554658845338
2020-07-10,866.0,-0.5970057183221057
2020-03-11,852.76,-0.5966019290376249
2021-12-21,879.0,-0.5931803084914488
2020-01-27,668.01,-0.5901015491872057
2015-07-27,1322.9,-0.5898453159193903
2018-01-06,1639.57,-0.5896169990898854
2022-02-25,1262.61,-0.5894247669622443
2016-08-15,673.1,-0.5889641099909911
2020-03-07,894.38,-0.5889525780198288
2015-01-10,1296.19,-0.5880605715203228
2018-01-05,1638.14,-0.5880234492396926
2021-02-25,1215.3600000000001,-0.5877663370242421
2020-05-10,901.5200000000001,-0.587545877682789
2020-04-05,905.94,-0.587545877682789
2021-06-04,901.97,-0.5871484866323046
2016-01-03,1271.01,-0.5868567586549879
2021-10-29,1239.27,-0.5861066965783901
2022-06-29,1249.2,-0.5858943670474072
2017-01-03,1280.43,-0.5858077679883988
